"Story","Title","Result","Date","Stability","Duration (s)"
"Failure credit scenario test","Verify failure scenario","SUCCESS","2019-10-21T11:43:51.625+05:30[Asia/Kolkata]","0.0","28.82"
"Success credit scenario test","Verify success scenario","SUCCESS","2019-10-21T11:44:21.966+05:30[Asia/Kolkata]","0.0","17.04"
